-178652177226.562500: 6200 6201
-112642577226.562500: 3606 3606
-46563857226.562500: 1012 1012
19537902773.437500: -1572 -1572
85685742773.437500: -4155 -4155
151879663125.000000: -6730 -6729
-158215696875.000000: 7034 7034
-90708496875.000000: 4421 4421
-24445457226.562500: 1862 1862
41817583125.000000: -692 -691
108241903125.000000: -3238 -3238
175864303125.000000: -5827 -5827
-133908496875.000000: 7972 7972
-66170896523.437500: 5397 5397
276463476.562500: 2873 2874
66746863125.000000: 356 356
133401583476.562500: -2154 -2154
-176186896875.000000: -4706 -4706
-108288016523.437500: -7252 -7251
-40296976523.437500: 6593 6593
26495983476.562500: 4106 4106
93358063476.562500: 1626 1626
160266223476.562500: -846 -846
-150266896523.437500: -3313 -3313
-82045456171.875000: -5818 -5818
-13800976171.875000: 8067 8067
53130223828.125000: 5620 5620
120130543828.125000: 3179 3180
187223023828.125000: 748 749
-123148815820.312500: -1674 -1673
-54812176171.875000: -4137 -4137
13639663828.125000: -6593 -6593
80847344179.687500: 7386 7387
148101104179.687500: 4990 4990
-162109455820.312500: 2604 2604
-94809615468.750000: 226 227
-27463695820.312500: -2141 -2141
41195504179.687500: -4547 -4547
108610544531.250000: -6899 -6899
177292784531.250000: 7095 7095
-132733455468.750000: 4761 4761
-65249295468.750000: 2435 2435
2257904882.812500: 119 120
69788144882.812500: -2187 -2187
137318384531.250000: -4484 -4484
-171348495468.750000: -6814 -6814
-102435855117.187500: 7249 7250
-34767374765.625000: 4982 4983
32924144882.812500: 2725 2725
100638705234.375000: 479 479
168399345234.375000: -1757 -1757
-140037134765.625000: -4027 -4027
-70940174765.625000: -6285 -6285
-1797134765.625000: 7854 7854
66055665585.937500: 5664 5664
133908465585.937500: 3484 3484
-175680014414.062500: 1316 1316
-107758094414.062500: -840 -840
-39744014062.500000: -2988 -2988
29560305937.500000: -5164 -5164
97643505937.500000: -7289 -7289
165749745937.500000: 6984 6984
-143585294062.500000: 4887 4887
-75456013710.937500: 2804 2804
-7326733710.937500: 736 736
60802546289.062500: -1317 -1317
129000946640.625000: -3355 -3355
-178882573007.812500: -5416 -5415
-109324813359.375000: -7463 -7463
-39744013359.375000: 6884 6885
28523506992.187500: 4900 4900
96883186992.187500: 2929 2929
165265906992.187500: 972 973
-143746573007.812500: -966 -966
-75294732656.250000: -2890 -2889
-5552652656.250000: -4833 -4833
62922227343.750000: -6725 -6725
131466227695.312500: 7784 7785
-177408012304.687500: 5935 5935
-108794891953.125000: 4091 4091
-40181771953.125000: 2267 2268
28454388046.875000: 482 482
97090548046.875000: -1295 -1295
165772788398.437500: -3068 -3068
-141626891601.562500: -4847 -4846
-71539211250.000000: -6604 -6604
-1451531250.000000: 8040 8040
67345908750.000000: 6354 6354
136189429101.562500: 4689 4689
-172385291250.000000: 3042 3042
-103449610546.875000: 1416 1417
-34467850898.437500: -189 -189
34513909804.687500: -1772 -1772
103587829804.687500: -3332 -3332
173998069804.687500: -4895 -4895
-133032969843.750000: -6432 -6432
-62576649843.750000: -7944 -7944
7833590507.812500: 6952 6952
77068790507.812500: 5524 5524
146303990507.812500: 4117 4117
-161902089140.625000: 2733 2733
-92551689140.625000: 1381 1381
-23178248789.062500: 55 55
46172151562.500000: -1246 -1246
115614711914.062500: -2521 -2520
186393591914.062500: -3791 -3791
-121605128085.937500: -5009 -5009
-50803207734.375000: -6219 -6219
18731512617.187500: -7379 -7378
88197112617.187500: 7872 7872
157685752617.187500: 6766 6766
-150128647031.250000: 5688 5688
-80432647031.250000: 4637 4637
-10736646679.687500: 3618 3618
59028473320.312500: 2632 2632
128839673671.875000: 1682 1682
-178721285976.562500: 761 761
-108840965625.000000: -138 -137
-38960645625.000000: -1010 -1010
32255994726.562500: -1851 -1851
102274555078.125000: -2636 -2636
172339195078.125000: -3388 -3388
-135014404570.312500: -4104 -4104
-63521284218.750000: -4796 -4796
6681596132.812500: -5439 -5439
76930556132.812500: -6047 -6047
147202556484.375000: -6619 -6619
-159943683515.625000: -7155 -7155
-88381443164.062500: -7655 -7655
-18063362812.500000: -8108 -8108
52346877539.062500: 7868 7868
122803197539.062500: 7501 7501
-184158722109.375000: 7168 7168
-113610241757.812500: 6879 6879
-43038721406.250000: 6628 6629
27532798593.750000: 6410 6410
98196478593.750000: 6227 6227
168837118945.312500: 6078 6078
-137940480703.125000: 5979 5979
-67161600351.562500: 5910 5910
3571200000.000000: 5864 5864
74373120000.000000: 5861 5861
145175040000.000000: 5861 5861
-161464320000.000000: 5861 5861
-90616320000.000000: 5861 5861
-19699200000.000000: 5861 5861
51217920000.000000: 5862 5862
122158080000.000000: 5862 5862
-184366080000.000000: 5862 5862
-113379840000.000000: 5862 5862
-42347520000.000000: 5862 5862
28638720000.000000: 5862 5862
99694080000.000000: 5862 5862
170795520000.000000: 5862 5862
-135544320000.000000: 5862 5862
-64396800000.000000: 5862 5862
6704640000.000000: 5862 5862
77852160000.000000: 5862 5862
149045760000.000000: 5862 5862
-157178880000.000000: 5862 5862
-85916160000.000000: 5862 5862
-14630400000.000000: 5862 5862
56632320000.000000: 5862 5862
127987200000.000000: 5862 5862
-177937920000.000000: 5862 5862
-111951378281.250000: 4063 4063
-56908820390.625000: 1094 1094
-11750420390.625000: -1979 -1979
24698859609.375000: -5111 -5110
52024299609.375000: -8181 -8181
71861739609.375000: 5131 5131
85178859609.375000: 2061 2061
93035499609.375000: -1009 -1009
96422379609.375000: -4080 -4080
96698859609.375000: -7150 -7150
96698859609.375000: 6163 6163
96698859609.375000: 3093 3093
96698859609.375000: 24 24
96698859609.375000: -3044 -3044
96698859609.375000: -6114 -6113
96698859609.375000: 7201 7201
96698859609.375000: 4133 4133
96698859609.375000: 1065 1065
96698859609.375000: -2000 -2000
96698859609.375000: -5065 -5065
96698859609.375000: -8130 -8130
96698859609.375000: 5189 5189
96721899609.375000: 2125 2125
96721899609.375000: -937 -936
96744939609.375000: -3999 -3999
96767979609.375000: -7059 -7059
96837099609.375000: 6263 6263
96998379609.375000: 3203 3203
97436139609.375000: 145 145
98173419609.375000: -2912 -2912
98910699609.375000: -5969 -5969
100293099960.937500: 7358 7359
102643179960.937500: 4302 4303
105523179960.937500: 1249 1249
109324779960.937500: -1803 -1802
113771499960.937500: -4854 -4853
118955499960.937500: -7903 -7903
125015019960.937500: 5430 5431
131996139960.937500: 2381 2382
139806699609.375000: -665 -665
148354539960.937500: -3711 -3710
157593579960.937500: -6755 -6755
167546859960.937500: 6583 6584
178099179609.375000: 3541 3541
-188121620039.062500: 499 500
-175887380039.062500: -2539 -2539
-162501140039.062500: -5634 -5634
-148170260039.062500: 7656 7656
-133217300390.625000: 4621 4621
-117342740039.062500: 1588 1588
-100707860039.062500: -1443 -1443
-83059220039.062500: -4532 -4531
-65064980039.062500: -7561 -7561
-46241300039.062500: 5794 5794
-26519060039.062500: 2767 2768
-6428180039.062500: -256 -256
14561259960.937500: -3280 -3280
36357099960.937500: -6303 -6302
58844139960.937500: 7059 7059
82229739960.937500: 4040 4040
106352619960.937500: 1022 1023
131212779960.937500: -1993 -1993
156856299960.937500: -5009 -5009
183743980312.500000: -8082 -8081
-166210580039.062500: 5230 5231
-138631700039.062500: 2218 2219
-110384660039.062500: -790 -790
-81377300039.062500: -3799 -3799
